"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A02_T07_S03_013","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Hard","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from the two arms of the angle","It is equidistant from all points in the plane","It is always the midpoint of every side in the figure","It always lies on a perpendicular bisector of a different segment","A","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
"QB_A02_T07_S03_014","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Hard","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from all points in the plane","It is equidistant from the two arms of the angle","It is always the midpoint of every side in the figure","It always lies on a perpendicular bisector of a different segment","B","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
"QB_A02_T07_S03_015","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Hard","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from all points in the plane","It is always the midpoint of every side in the figure","It is equidistant from the two arms of the angle","It always lies on a perpendicular bisector of a different segment","C","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
"QB_A02_T07_S03_016","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Hard","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from all points in the plane","It is always the midpoint of every side in the figure","It always lies on a perpendicular bisector of a different segment","It is equidistant from the two arms of the angle","D","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
"QB_A02_T07_S03_017","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Hard","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from the two arms of the angle","It is equidistant from all points in the plane","It is always the midpoint of every side in the figure","It always lies on a perpendicular bisector of a different segment","A","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
"QB_A02_T07_S03_018","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Hard","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from all points in the plane","It is equidistant from the two arms of the angle","It is always the midpoint of every side in the figure","It always lies on a perpendicular bisector of a different segment","B","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
"QB_A02_T07_S03_019","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Hard","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from all points in the plane","It is always the midpoint of every side in the figure","It is equidistant from the two arms of the angle","It always lies on a perpendicular bisector of a different segment","C","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
"QB_A02_T07_S03_020","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Hard","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from all points in the plane","It is always the midpoint of every side in the figure","It always lies on a perpendicular bisector of a different segment","It is equidistant from the two arms of the angle","D","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
"QB_A02_T07_S03_021","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Hard","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from the two arms of the angle","It is equidistant from all points in the plane","It is always the midpoint of every side in the figure","It always lies on a perpendicular bisector of a different segment","A","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
"QB_A02_T07_S03_022","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Hard","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from all points in the plane","It is equidistant from the two arms of the angle","It is always the midpoint of every side in the figure","It always lies on a perpendicular bisector of a different segment","B","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
"QB_A02_T07_S03_023","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Hard","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from all points in the plane","It is always the midpoint of every side in the figure","It is equidistant from the two arms of the angle","It always lies on a perpendicular bisector of a different segment","C","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
"QB_A02_T07_S03_024","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Hard","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from all points in the plane","It is always the midpoint of every side in the figure","It always lies on a perpendicular bisector of a different segment","It is equidistant from the two arms of the angle","D","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
"QB_A02_T07_S03_025","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Advanced","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from the two arms of the angle","It is equidistant from all points in the plane","It is always the midpoint of every side in the figure","It always lies on a perpendicular bisector of a different segment","A","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
"QB_A02_T07_S03_026","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Advanced","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from all points in the plane","It is equidistant from the two arms of the angle","It is always the midpoint of every side in the figure","It always lies on a perpendicular bisector of a different segment","B","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
"QB_A02_T07_S03_027","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Advanced","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from all points in the plane","It is always the midpoint of every side in the figure","It is equidistant from the two arms of the angle","It always lies on a perpendicular bisector of a different segment","C","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
"QB_A02_T07_S03_028","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Advanced","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from all points in the plane","It is always the midpoint of every side in the figure","It always lies on a perpendicular bisector of a different segment","It is equidistant from the two arms of the angle","D","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
"QB_A02_T07_S03_029","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Advanced","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from the two arms of the angle","It is equidistant from all points in the plane","It is always the midpoint of every side in the figure","It always lies on a perpendicular bisector of a different segment","A","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
"QB_A02_T07_S03_030","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S03","Angle bisector construction and its properties (Stage 2)","2.7.3","Advanced","MCQ","What is always true of a point on the angle bisector of an angle?","It is equidistant from all points in the plane","It is equidistant from the two arms of the angle","It is always the midpoint of every side in the figure","It always lies on a perpendicular bisector of a different segment","B","Points on an angle bisector are equidistant from the sides of the angle.","geometry;geometric;constructions;general;angle;bisector;construction;its;properties;stage;angle-bisector","approved_hierarchy_v1"
