"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A02_T01_S03_011","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Hard","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(30^\circ\) and \(25^\circ\), what is \(m\angle AOC\)?","\(5^\circ\)","\(125^\circ\)","\(55^\circ\)","\(65^\circ\)","C","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
"QB_A02_T01_S03_012","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Hard","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(36^\circ\) and \(30^\circ\), what is \(m\angle AOC\)?","\(6^\circ\)","\(114^\circ\)","\(76^\circ\)","\(66^\circ\)","D","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
"QB_A02_T01_S03_013","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Hard","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(42^\circ\) and \(35^\circ\), what is \(m\angle AOC\)?","\(77^\circ\)","\(7^\circ\)","\(103^\circ\)","\(87^\circ\)","A","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
"QB_A02_T01_S03_014","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Hard","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(48^\circ\) and \(40^\circ\), what is \(m\angle AOC\)?","\(8^\circ\)","\(88^\circ\)","\(92^\circ\)","\(98^\circ\)","B","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
"QB_A02_T01_S03_015","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Hard","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(54^\circ\) and \(45^\circ\), what is \(m\angle AOC\)?","\(9^\circ\)","\(81^\circ\)","\(99^\circ\)","\(109^\circ\)","C","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
"QB_A02_T01_S03_016","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Hard","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(60^\circ\) and \(50^\circ\), what is \(m\angle AOC\)?","\(10^\circ\)","\(70^\circ\)","\(120^\circ\)","\(110^\circ\)","D","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
"QB_A02_T01_S03_017","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Hard","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(66^\circ\) and \(15^\circ\), what is \(m\angle AOC\)?","\(81^\circ\)","\(51^\circ\)","\(99^\circ\)","\(91^\circ\)","A","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
"QB_A02_T01_S03_018","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Hard","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(72^\circ\) and \(20^\circ\), what is \(m\angle AOC\)?","\(52^\circ\)","\(92^\circ\)","\(88^\circ\)","\(102^\circ\)","B","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
"QB_A02_T01_S03_019","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Hard","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(78^\circ\) and \(25^\circ\), what is \(m\angle AOC\)?","\(53^\circ\)","\(77^\circ\)","\(103^\circ\)","\(113^\circ\)","C","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
"QB_A02_T01_S03_020","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Hard","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(84^\circ\) and \(30^\circ\), what is \(m\angle AOC\)?","\(54^\circ\)","\(66^\circ\)","\(124^\circ\)","\(114^\circ\)","D","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
"QB_A02_T01_S03_021","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Hard","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(30^\circ\) and \(35^\circ\), what is \(m\angle AOC\)?","\(65^\circ\)","\(5^\circ\)","\(115^\circ\)","\(75^\circ\)","A","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
"QB_A02_T01_S03_022","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Hard","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(36^\circ\) and \(40^\circ\), what is \(m\angle AOC\)?","\(4^\circ\)","\(76^\circ\)","\(104^\circ\)","\(86^\circ\)","B","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
"QB_A02_T01_S03_023","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Hard","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(42^\circ\) and \(45^\circ\), what is \(m\angle AOC\)?","\(3^\circ\)","\(93^\circ\)","\(87^\circ\)","\(97^\circ\)","C","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
"QB_A02_T01_S03_024","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Hard","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(48^\circ\) and \(50^\circ\), what is \(m\angle AOC\)?","\(2^\circ\)","\(82^\circ\)","\(108^\circ\)","\(98^\circ\)","D","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
"QB_A02_T01_S03_025","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Advanced","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(54^\circ\) and \(15^\circ\), what is \(m\angle AOC\)?","\(69^\circ\)","\(39^\circ\)","\(111^\circ\)","\(79^\circ\)","A","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
"QB_A02_T01_S03_026","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Advanced","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(60^\circ\) and \(20^\circ\), what is \(m\angle AOC\)?","\(40^\circ\)","\(80^\circ\)","\(100^\circ\)","\(90^\circ\)","B","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
"QB_A02_T01_S03_027","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Advanced","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(66^\circ\) and \(25^\circ\), what is \(m\angle AOC\)?","\(41^\circ\)","\(89^\circ\)","\(91^\circ\)","\(101^\circ\)","C","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
"QB_A02_T01_S03_028","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Advanced","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(72^\circ\) and \(30^\circ\), what is \(m\angle AOC\)?","\(42^\circ\)","\(78^\circ\)","\(112^\circ\)","\(102^\circ\)","D","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
"QB_A02_T01_S03_029","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Advanced","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(78^\circ\) and \(35^\circ\), what is \(m\angle AOC\)?","\(113^\circ\)","\(43^\circ\)","\(67^\circ\)","\(123^\circ\)","A","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
"QB_A02_T01_S03_030","A02","Geometry","A02_T01","Angles","A02_T01_S03","Adjacent angles","2.1.3","Advanced","MCQ","\(\angle AOB\) and \(\angle BOC\) share a common vertex and a common arm. If their measures are \(84^\circ\) and \(40^\circ\), what is \(m\angle AOC\)?","\(44^\circ\)","\(124^\circ\)","\(56^\circ\)","\(134^\circ\)","B","Adjacent angles with no overlap add to form the larger angle.","geometry;angles;adjacent","approved_hierarchy_v1"
