"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A06_T01_S06_015","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Hard","MCQ","In a right-angled triangle, the side opposite \(54^\circ\) is \(8\). Which expression gives the hypotenuse?","\(8\sin 54^\circ\)","\(\frac{8}{\cos 54^\circ}\)","\(\frac{8}{\sin 54^\circ}\)","\(8\tan 54^\circ\)","C","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
"QB_A06_T01_S06_016","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Hard","MCQ","In a right-angled triangle, the side opposite \(30^\circ\) is \(9\). Which expression gives the hypotenuse?","\(9\sin 30^\circ\)","\(\frac{9}{\cos 30^\circ}\)","\(9\tan 30^\circ\)","\(\frac{9}{\sin 30^\circ}\)","D","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
"QB_A06_T01_S06_017","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Hard","MCQ","In a right-angled triangle, the side opposite \(36^\circ\) is \(10\). Which expression gives the hypotenuse?","\(\frac{10}{\sin 36^\circ}\)","\(10\sin 36^\circ\)","\(\frac{10}{\cos 36^\circ}\)","\(10\tan 36^\circ\)","A","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
"QB_A06_T01_S06_018","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Hard","MCQ","In a right-angled triangle, the side opposite \(42^\circ\) is \(11\). Which expression gives the hypotenuse?","\(11\sin 42^\circ\)","\(\frac{11}{\sin 42^\circ}\)","\(\frac{11}{\cos 42^\circ}\)","\(11\tan 42^\circ\)","B","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
"QB_A06_T01_S06_019","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Hard","MCQ","In a right-angled triangle, the side opposite \(48^\circ\) is \(6\). Which expression gives the hypotenuse?","\(6\sin 48^\circ\)","\(\frac{6}{\cos 48^\circ}\)","\(\frac{6}{\sin 48^\circ}\)","\(6\tan 48^\circ\)","C","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
"QB_A06_T01_S06_020","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Hard","MCQ","In a right-angled triangle, the side opposite \(54^\circ\) is \(7\). Which expression gives the hypotenuse?","\(7\sin 54^\circ\)","\(\frac{7}{\cos 54^\circ}\)","\(7\tan 54^\circ\)","\(\frac{7}{\sin 54^\circ}\)","D","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
"QB_A06_T01_S06_021","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Hard","MCQ","In a right-angled triangle, the side opposite \(30^\circ\) is \(8\). Which expression gives the hypotenuse?","\(\frac{8}{\sin 30^\circ}\)","\(8\sin 30^\circ\)","\(\frac{8}{\cos 30^\circ}\)","\(8\tan 30^\circ\)","A","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
"QB_A06_T01_S06_022","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Hard","MCQ","In a right-angled triangle, the side opposite \(36^\circ\) is \(9\). Which expression gives the hypotenuse?","\(9\sin 36^\circ\)","\(\frac{9}{\sin 36^\circ}\)","\(\frac{9}{\cos 36^\circ}\)","\(9\tan 36^\circ\)","B","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
"QB_A06_T01_S06_023","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Hard","MCQ","In a right-angled triangle, the side opposite \(42^\circ\) is \(10\). Which expression gives the hypotenuse?","\(10\sin 42^\circ\)","\(\frac{10}{\cos 42^\circ}\)","\(\frac{10}{\sin 42^\circ}\)","\(10\tan 42^\circ\)","C","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
"QB_A06_T01_S06_024","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Hard","MCQ","In a right-angled triangle, the side opposite \(48^\circ\) is \(11\). Which expression gives the hypotenuse?","\(11\sin 48^\circ\)","\(\frac{11}{\cos 48^\circ}\)","\(11\tan 48^\circ\)","\(\frac{11}{\sin 48^\circ}\)","D","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
"QB_A06_T01_S06_025","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Advanced","MCQ","In a right-angled triangle, the side opposite \(54^\circ\) is \(6\). Which expression gives the hypotenuse?","\(\frac{6}{\sin 54^\circ}\)","\(6\sin 54^\circ\)","\(\frac{6}{\cos 54^\circ}\)","\(6\tan 54^\circ\)","A","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
"QB_A06_T01_S06_026","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Advanced","MCQ","In a right-angled triangle, the side opposite \(30^\circ\) is \(7\). Which expression gives the hypotenuse?","\(7\sin 30^\circ\)","\(\frac{7}{\sin 30^\circ}\)","\(\frac{7}{\cos 30^\circ}\)","\(7\tan 30^\circ\)","B","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
"QB_A06_T01_S06_027","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Advanced","MCQ","In a right-angled triangle, the side opposite \(36^\circ\) is \(8\). Which expression gives the hypotenuse?","\(8\sin 36^\circ\)","\(\frac{8}{\cos 36^\circ}\)","\(\frac{8}{\sin 36^\circ}\)","\(8\tan 36^\circ\)","C","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
"QB_A06_T01_S06_028","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Advanced","MCQ","In a right-angled triangle, the side opposite \(42^\circ\) is \(9\). Which expression gives the hypotenuse?","\(9\sin 42^\circ\)","\(\frac{9}{\cos 42^\circ}\)","\(9\tan 42^\circ\)","\(\frac{9}{\sin 42^\circ}\)","D","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
"QB_A06_T01_S06_029","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Advanced","MCQ","In a right-angled triangle, the side opposite \(48^\circ\) is \(10\). Which expression gives the hypotenuse?","\(\frac{10}{\sin 48^\circ}\)","\(10\sin 48^\circ\)","\(\frac{10}{\cos 48^\circ}\)","\(10\tan 48^\circ\)","A","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
"QB_A06_T01_S06_030","A06","Trigonometry","A06_T01","Trigonometric Ratios","A06_T01_S06","Unknown in the denominator. [Case 4]","6.1.6","Advanced","MCQ","In a right-angled triangle, the side opposite \(54^\circ\) is \(11\). Which expression gives the hypotenuse?","\(11\sin 54^\circ\)","\(\frac{11}{\sin 54^\circ}\)","\(\frac{11}{\cos 54^\circ}\)","\(11\tan 54^\circ\)","B","Rearrange \(\sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}\).","trigonometry;trigonometric;ratios;unknown;denominator;case;4;rearrange","approved_hierarchy_v1"
