"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A05_T01_S05_014","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Hard","MCQ","What is the area of a circle of radius \(9\)?","\(18\pi\)","\(81\pi\)","\(9\pi\)","\(82\pi\)","B","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
"QB_A05_T01_S05_015","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Hard","MCQ","What is the area of a circle of radius \(3\)?","\(6\pi\)","\(3\pi\)","\(9\pi\)","\(10\pi\)","C","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
"QB_A05_T01_S05_016","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Hard","MCQ","What is the area of a circle of radius \(4\)?","\(8\pi\)","\(4\pi\)","\(17\pi\)","\(16\pi\)","D","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
"QB_A05_T01_S05_017","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Hard","MCQ","What is the area of a circle of radius \(5\)?","\(25\pi\)","\(10\pi\)","\(5\pi\)","\(26\pi\)","A","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
"QB_A05_T01_S05_018","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Hard","MCQ","What is the area of a circle of radius \(6\)?","\(12\pi\)","\(36\pi\)","\(6\pi\)","\(37\pi\)","B","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
"QB_A05_T01_S05_019","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Hard","MCQ","What is the area of a circle of radius \(7\)?","\(14\pi\)","\(7\pi\)","\(49\pi\)","\(50\pi\)","C","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
"QB_A05_T01_S05_020","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Hard","MCQ","What is the area of a circle of radius \(8\)?","\(16\pi\)","\(8\pi\)","\(65\pi\)","\(64\pi\)","D","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
"QB_A05_T01_S05_021","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Hard","MCQ","What is the area of a circle of radius \(9\)?","\(81\pi\)","\(18\pi\)","\(9\pi\)","\(82\pi\)","A","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
"QB_A05_T01_S05_022","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Hard","MCQ","What is the area of a circle of radius \(3\)?","\(6\pi\)","\(9\pi\)","\(3\pi\)","\(10\pi\)","B","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
"QB_A05_T01_S05_023","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Hard","MCQ","What is the area of a circle of radius \(4\)?","\(8\pi\)","\(4\pi\)","\(16\pi\)","\(17\pi\)","C","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
"QB_A05_T01_S05_024","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Hard","MCQ","What is the area of a circle of radius \(5\)?","\(10\pi\)","\(5\pi\)","\(26\pi\)","\(25\pi\)","D","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
"QB_A05_T01_S05_025","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Advanced","MCQ","What is the area of a circle of radius \(6\)?","\(36\pi\)","\(12\pi\)","\(6\pi\)","\(37\pi\)","A","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
"QB_A05_T01_S05_026","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Advanced","MCQ","What is the area of a circle of radius \(7\)?","\(14\pi\)","\(49\pi\)","\(7\pi\)","\(50\pi\)","B","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
"QB_A05_T01_S05_027","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Advanced","MCQ","What is the area of a circle of radius \(8\)?","\(16\pi\)","\(8\pi\)","\(64\pi\)","\(65\pi\)","C","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
"QB_A05_T01_S05_028","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Advanced","MCQ","What is the area of a circle of radius \(9\)?","\(18\pi\)","\(9\pi\)","\(82\pi\)","\(81\pi\)","D","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
"QB_A05_T01_S05_029","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Advanced","MCQ","What is the area of a circle of radius \(3\)?","\(9\pi\)","\(6\pi\)","\(3\pi\)","\(10\pi\)","A","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
"QB_A05_T01_S05_030","A05","Measurement","A05_T01","Area","A05_T01_S05","Area of a circle","5.1.5","Advanced","MCQ","What is the area of a circle of radius \(4\)?","\(8\pi\)","\(16\pi\)","\(4\pi\)","\(17\pi\)","B","The area of a circle is \(\pi r^2\).","measurement;area;circle","approved_hierarchy_v1"
