"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A01_T01_S01_011","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Medium","MCQ","The first five terms of a sequence are \(6, 11, 18, 27, 38\). Which conjecture is best supported by the pattern?","\(a_n = n^2 + 2n + 3\)","\(a_n = n^2 + 5\)","\(a_n = 4n + 2\)","\(a_n = 2^n + 4\)","A","The first differences are \(5, 7, 9, 11\), suggesting a quadratic pattern, and \(a_n = n^2 + 2n + 3\) matches all listed terms.","logic;reasoning;inductive;deductive;sequence;pattern","approved_hierarchy_v1"
"QB_A01_T01_S01_012","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Medium","MCQ","All equilateral triangles are isosceles. Triangle \(PQR\) is equilateral. Which conclusion follows deductively?","Triangle \(PQR\) is right-angled","Triangle \(PQR\) has one angle greater than \(90^\circ\)","Triangle \(PQR\) is scalene","Triangle \(PQR\) is isosceles","D","Since every equilateral triangle is isosceles, the given triangle must be isosceles.","logic;reasoning;inductive;deductive;geometry;classification","approved_hierarchy_v1"
"QB_A01_T01_S01_013","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Hard","MCQ","A student observes that \(1=1^2\), \(1+3=2^2\), \(1+3+5=3^2\), and \(1+3+5+7=4^2\), then states that the sum of the first \(n\) odd numbers is \(n^2\) for all positive integers. Which description is best?","It is an inductive conjecture based on several cases","It is a deductive proof","It is false because square numbers are always even","It is a contradiction","A","The student has generalized from examples, so the reasoning is inductive rather than a proof for all positive integers.","logic;reasoning;inductive;deductive;generalisation;number-pattern","approved_hierarchy_v1"
"QB_A01_T01_S01_014","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Advanced","MCQ","Which argument is a deductive proof that the sum of any two odd integers is even?","Check \(3+5\), \(7+9\), and \(11+13\)","Let the integers be \(2a+1\) and \(2b+1\); their sum is \(2(a+b+1)\)","Draw a number line and mark odd numbers","Observe that odd numbers usually occur in pairs","B","A deductive proof must cover all cases. Writing odd integers as \(2a+1\) and \(2b+1\) gives a general algebraic argument.","logic;reasoning;inductive;deductive;algebra;parity;proof","approved_hierarchy_v1"
"QB_A01_T01_S01_015","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Hard","MCQ","A student evaluates \(n^2+n\) for \(n=1,2,3,4\) and obtains even numbers each time. Which statement would justify the claim that \(n^2+n\) is even for every integer \(n\)?","The graph of \(y=n^2+n\) is a parabola","The first ten values are even","\(n^2+n=n(n+1)\), and one of two consecutive integers is always even","The expression increases as \(n\) increases","C","The product \(n(n+1)\) uses two consecutive integers, so one factor must be even, making the product even.","logic;reasoning;inductive;deductive;algebra;consecutive-integers","approved_hierarchy_v1"
"QB_A01_T01_S01_016","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Hard","MCQ","Suppose the following statements are true: 1. Every integer of the form \(2k\) is even. 2. If an integer is even and divisible by \(3\), then it is divisible by \(6\). 3. \(p\) is of the form \(2k\) and is divisible by \(3\). Which conclusion follows deductively?","\(p\) is divisible by \(12\)","\(p\) is odd","\(p\) is prime","\(p\) is divisible by \(6\)","D","Statement 3 gives that \(p\) is even and divisible by \(3\), so statement 2 implies that \(p\) is divisible by \(6\).","logic;reasoning;inductive;deductive;multi-step;divisibility","approved_hierarchy_v1"
"QB_A01_T01_S01_017","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Medium","MCQ","The sequence \(2, 6, 12, 20, 30\) follows a clear pattern. Which conjecture is best supported?","\(a_n = n^2+n\)","\(a_n = 2n+4\)","\(a_n = n^2+2\)","\(a_n = 2^n+1\)","A","Substituting \(n=1,2,3,4,5\) into \(a_n=n^2+n\) gives \(2,6,12,20,30\), matching all terms.","logic;reasoning;inductive;deductive;sequence;pattern","approved_hierarchy_v1"
"QB_A01_T01_S01_018","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Hard","MCQ","A student computes \(2^n-1\) for \(n=2,3,5,7\) and gets \(3,7,31,127\), all prime numbers. The student concludes that \(2^n-1\) is prime whenever \(n\) is prime. Which evaluation is best?","The conclusion is deductively proven","The conclusion is an inductive conjecture from selected cases","The conclusion must be false because \(n\) is prime","The conclusion follows from the definition of prime number","B","The claim is based on a limited set of examples, so it is inductive evidence rather than a proof for all prime \(n\).","logic;reasoning;inductive;deductive;number;generalisation","approved_hierarchy_v1"
"QB_A01_T01_S01_019","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Medium","MCQ","All rectangles are parallelograms. Some parallelograms are not rectangles. Shape \(S\) is a rectangle. Which conclusion follows deductively?","Shape \(S\) is not a parallelogram","Every parallelogram is a rectangle","Shape \(S\) is a parallelogram","No conclusion about Shape \(S\) can be made","C","Because every rectangle belongs to the set of parallelograms, Shape \(S\) must be a parallelogram.","logic;reasoning;inductive;deductive;classification;geometry","approved_hierarchy_v1"
"QB_A01_T01_S01_020","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Advanced","MCQ","A student tests several integers and notices that \(n^3-n\) is always divisible by \(6\). Which observation gives the strongest basis for a deductive proof of the claim?","\(n^3-n\) is a cubic expression","The first twenty values are divisible by \(6\)","The graph passes through the origin","\(n^3-n=n(n-1)(n+1)\), which is the product of three consecutive integers","D","The factorization gives three consecutive integers, among which one is divisible by \(2\) and one is divisible by \(3\), so the product is divisible by \(6\).","logic;reasoning;inductive;deductive;algebra;factorisation","approved_hierarchy_v1"
"QB_A01_T01_S01_021","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Medium","MCQ","Which situation is an example of deductive rather than inductive reasoning?","From the fact that the angles in a triangle sum to \(180^\circ\), a student concludes that a triangle with angles \(35^\circ\) and \(65^\circ\) has a third angle of \(80^\circ\)","After checking several examples, a student predicts the next term of a sequence","A pattern in a table is extended to larger numbers","A student draws three diagrams and assumes the rule will always continue","A","The conclusion follows directly from an established fact about triangles, so the reasoning is deductive.","logic;reasoning;inductive;deductive;geometry;angle-sum","approved_hierarchy_v1"
"QB_A01_T01_S01_022","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Hard","MCQ","For \(n=1,2,3,4\), the values of \(n^2-n+41\) are prime. A student concludes that \(n^2-n+41\) is prime for every positive integer \(n\). Which statement is most justified?","The claim is proven because four cases are enough","The claim is supported by inductive evidence only","The claim must be false because quadratic expressions cannot be prime","The claim is deductive because the pattern starts at \(n=1\)","B","Testing several inputs can suggest a pattern, but it does not prove the statement for every positive integer.","logic;reasoning;inductive;deductive;algebra;pattern","approved_hierarchy_v1"
"QB_A01_T01_S01_023","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Hard","MCQ","Suppose the following statements are true: 1. Every number of the form \(5k\) is divisible by \(5\). 2. If an integer is divisible by \(5\) and is even, then it is divisible by \(10\). 3. \(t\) is of the form \(5k\) and is even. Which conclusion follows deductively?","\(t\) is divisible by \(25\)","\(t\) is odd","\(t\) is divisible by \(10\)","\(t\) is prime","C","From statement 3, \(t\) is divisible by \(5\) and even, so statement 2 gives that \(t\) is divisible by \(10\).","logic;reasoning;inductive;deductive;multi-step;divisibility","approved_hierarchy_v1"
"QB_A01_T01_S01_024","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Hard","MCQ","A student measures the base angles in several isosceles triangles and finds that they are equal each time. The student then claims this proves that base angles in every isosceles triangle are equal. Which improvement would turn the argument into deductive reasoning?","Measure more triangles of different sizes","Draw the triangles more accurately","Use triangles with whole-number side lengths only","Use a general argument that applies to every isosceles triangle","D","Deductive reasoning requires a general argument valid for all isosceles triangles, not additional measurements of examples.","logic;reasoning;inductive;deductive;geometry;proof-awareness","approved_hierarchy_v1"
"QB_A01_T01_S01_025","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Medium","MCQ","Suppose the following statements are true: 1. If \(a>b\) and \(b>c\), then \(a>c\). 2. \(x>y\). 3. \(y>z\). Which conclusion follows deductively?","\(x>z\)","\(x<z\)","\(x=z\)","No conclusion follows","A","Applying the transitive property to \(x>y\) and \(y>z\) gives \(x>z\).","logic;reasoning;inductive;deductive;inequality;transitive","approved_hierarchy_v1"
"QB_A01_T01_S01_026","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Hard","MCQ","A student checks that \(2n+1\) is odd for \(n=1,2,3,4\) and concludes that \(2n+1\) is odd for every integer \(n\). Which statement provides a deductive justification?","\(2n+1\) has positive slope when graphed","\(2n+1\) is of the form \(2k+1\), which defines an odd integer","The first hundred values are odd","The expression increases by \(2\) each time","B","An integer is odd exactly when it can be written in the form \(2k+1\), so this argument applies to every integer \(n\).","logic;reasoning;inductive;deductive;algebra;parity;definition","approved_hierarchy_v1"
"QB_A01_T01_S01_027","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Advanced","MCQ","Which argument is a deductive proof that the sum of any three consecutive integers is divisible by \(3\)?","Check \(1+2+3\), \(2+3+4\), and \(10+11+12\)","Notice that many such sums end in \(6\) or \(9\)","Let the integers be \(n, n+1, n+2\); then their sum is \(3n+3=3(n+1)\)","Plot the sums on a graph","C","The algebraic expression \(3(n+1)\) shows directly that the sum is a multiple of \(3\) for every integer \(n\).","logic;reasoning;inductive;deductive;algebra;consecutive-integers","approved_hierarchy_v1"
"QB_A01_T01_S01_028","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Medium","MCQ","The first five terms of a sequence are \(5, 12, 21, 32, 45\). Which conjecture is best supported by the pattern?","\(a_n = 2n^2 + 3\)","\(a_n = n^2 + 5\)","\(a_n = 5n\)","\(a_n = n^2 + 4n\)","D","Substituting \(n=1,2,3,4,5\) into \(a_n=n^2+4n\) gives \(5,12,21,32,45\), which matches the sequence.","logic;reasoning;inductive;deductive;sequence;quadratic-pattern","approved_hierarchy_v1"
"QB_A01_T01_S01_029","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Advanced","MCQ","Suppose the following statements are true: 1. If an integer is divisible by \(6\), then it is divisible by \(2\) and by \(3\). 2. If an integer is divisible by \(2\) and by \(3\), then its square is divisible by \(36\). 3. \(m\) is divisible by \(6\). Which conclusion follows deductively?","\(m^2\) is divisible by \(36\)","\(m\) is divisible by \(36\)","\(m\) is prime","\(m\) is odd","A","From statement 3, \(m\) is divisible by \(2\) and \(3\), and statement 2 then gives that \(m^2\) is divisible by \(36\).","logic;reasoning;inductive;deductive;multi-step;divisibility","approved_hierarchy_v1"
"QB_A01_T01_S01_030","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S01","Inductive and deductive reasoning","1.1.1","Hard","MCQ","A student lists \(7, 14, 21,\) and \(28\), and each is divisible by \(7\). The student then states that every multiple of \(7\) is divisible by \(7\). Which statement best explains why this claim can be justified deductively?","Four examples are always enough for proof","A multiple of \(7\) means a number of the form \(7k\), so divisibility by \(7\) follows from the definition","Only small multiples of \(7\) are divisible by \(7\)","The claim is true only for even multiples of \(7\)","B","The definition of a multiple gives a general argument: any number of the form \(7k\) is divisible by \(7\).","logic;reasoning;inductive;deductive;definition;divisibility","approved_hierarchy_v1"
"QB_A01_T01_S02_001","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S02","Definition and use of counter examples","1.1.2","Medium","MCQ","Which option is a counter example to the statement: Every prime number is odd.","\(2\)","\(9\)","\(15\)","\(21\)","A","The number \(2\) is prime and even, so it disproves the statement.","logic;reasoning;definition;counter;examples;counterexample","approved_hierarchy_v1"
"QB_A01_T01_S02_002","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S02","Definition and use of counter examples","1.1.2","Medium","MCQ","Which option is a counter example to the statement: If a number is divisible by \(4\), then it is greater than \(10\).","\(12\)","\(8\)","\(16\)","\(20\)","B","\(8\) is divisible by \(4\) but not greater than \(10\).","logic;reasoning;definition;counter;examples;counterexample","approved_hierarchy_v1"
"QB_A01_T01_S02_003","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S02","Definition and use of counter examples","1.1.2","Medium","MCQ","Which option is a counter example to the statement: All rectangles are squares.","A square with side length \(4\)","A rhombus with side length \(6\)","A rectangle with side lengths \(3\) and \(5\)","A triangle with two equal sides","C","A rectangle can have four right angles without having all four sides equal.","logic;reasoning;definition;counter;examples;counterexample","approved_hierarchy_v1"
"QB_A01_T01_S02_004","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S02","Definition and use of counter examples","1.1.2","Medium","MCQ","Which option is a counter example to the statement: Every multiple of \(5\) ends in \(5\).","\(15\)","\(25\)","\(35\)","\(10\)","D","\(10\) is a multiple of \(5\), but it ends in \(0\).","logic;reasoning;definition;counter;examples;counterexample","approved_hierarchy_v1"
"QB_A01_T01_S02_005","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S02","Definition and use of counter examples","1.1.2","Medium","MCQ","Which option is a counter example to the statement: If two angles are supplementary, then they are equal.","\(70^\circ\) and \(110^\circ\)","\(90^\circ\) and \(90^\circ\)","\(60^\circ\) and \(120^\circ\) are not supplementary","\(45^\circ\) and \(45^\circ\)","A","Supplementary angles sum to \(180^\circ\), but they do not have to be equal.","logic;reasoning;definition;counter;examples;counterexample","approved_hierarchy_v1"
"QB_A01_T01_S02_006","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S02","Definition and use of counter examples","1.1.2","Medium","MCQ","Which option is a counter example to the statement: Every prime number is odd.","\(9\)","\(2\)","\(15\)","\(21\)","B","The number \(2\) is prime and even, so it disproves the statement.","logic;reasoning;definition;counter;examples;counterexample","approved_hierarchy_v1"
"QB_A01_T01_S02_007","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S02","Definition and use of counter examples","1.1.2","Medium","MCQ","Which option is a counter example to the statement: If a number is divisible by \(4\), then it is greater than \(10\).","\(12\)","\(16\)","\(8\)","\(20\)","C","\(8\) is divisible by \(4\) but not greater than \(10\).","logic;reasoning;definition;counter;examples;counterexample","approved_hierarchy_v1"
"QB_A01_T01_S02_008","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S02","Definition and use of counter examples","1.1.2","Medium","MCQ","Which option is a counter example to the statement: All rectangles are squares.","A square with side length \(4\)","A rhombus with side length \(6\)","A triangle with two equal sides","A rectangle with side lengths \(3\) and \(5\)","D","A rectangle can have four right angles without having all four sides equal.","logic;reasoning;definition;counter;examples;counterexample","approved_hierarchy_v1"
"QB_A01_T01_S02_009","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S02","Definition and use of counter examples","1.1.2","Medium","MCQ","Which option is a counter example to the statement: Every multiple of \(5\) ends in \(5\).","\(10\)","\(15\)","\(25\)","\(35\)","A","\(10\) is a multiple of \(5\), but it ends in \(0\).","logic;reasoning;definition;counter;examples;counterexample","approved_hierarchy_v1"
"QB_A01_T01_S02_010","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S02","Definition and use of counter examples","1.1.2","Medium","MCQ","Which option is a counter example to the statement: If two angles are supplementary, then they are equal.","\(90^\circ\) and \(90^\circ\)","\(70^\circ\) and \(110^\circ\)","\(60^\circ\) and \(120^\circ\) are not supplementary","\(45^\circ\) and \(45^\circ\)","B","Supplementary angles sum to \(180^\circ\), but they do not have to be equal.","logic;reasoning;definition;counter;examples;counterexample","approved_hierarchy_v1"
"QB_A01_T01_S02_011","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S02","Definition and use of counter examples","1.1.2","Hard","MCQ","Which option is a counter example to the statement: Every prime number is odd.","\(9\)","\(15\)","\(2\)","\(21\)","C","The number \(2\) is prime and even, so it disproves the statement.","logic;reasoning;definition;counter;examples;counterexample","approved_hierarchy_v1"
"QB_A01_T01_S02_012","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S02","Definition and use of counter examples","1.1.2","Hard","MCQ","Which option is a counter example to the statement: If a number is divisible by \(4\), then it is greater than \(10\).","\(12\)","\(16\)","\(20\)","\(8\)","D","\(8\) is divisible by \(4\) but not greater than \(10\).","logic;reasoning;definition;counter;examples;counterexample","approved_hierarchy_v1"
"QB_A01_T01_S02_013","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S02","Definition and use of counter examples","1.1.2","Hard","MCQ","Which option is a counter example to the statement: All rectangles are squares.","A rectangle with side lengths \(3\) and \(5\)","A square with side length \(4\)","A rhombus with side length \(6\)","A triangle with two equal sides","A","A rectangle can have four right angles without having all four sides equal.","logic;reasoning;definition;counter;examples;counterexample","approved_hierarchy_v1"
"QB_A01_T01_S02_014","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S02","Definition and use of counter examples","1.1.2","Hard","MCQ","Which option is a counter example to the statement: Every multiple of \(5\) ends in \(5\).","\(15\)","\(10\)","\(25\)","\(35\)","B","\(10\) is a multiple of \(5\), but it ends in \(0\).","logic;reasoning;definition;counter;examples;counterexample","approved_hierarchy_v1"
"QB_A01_T01_S02_015","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S02","Definition and use of counter examples","1.1.2","Hard","MCQ","Which option is a counter example to the statement: If two angles are supplementary, then they are equal.","\(90^\circ\) and \(90^\circ\)","\(60^\circ\) and \(120^\circ\) are not supplementary","\(70^\circ\) and \(110^\circ\)","\(45^\circ\) and \(45^\circ\)","C","Supplementary angles sum to \(180^\circ\), but they do not have to be equal.","logic;reasoning;definition;counter;examples;counterexample","approved_hierarchy_v1"
"QB_A01_T01_S02_016","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S02","Definition and use of counter examples","1.1.2","Hard","MCQ","Which option is a counter example to the statement: Every prime number is odd.","\(9\)","\(15\)","\(21\)","\(2\)","D","The number \(2\) is prime and even, so it disproves the statement.","logic;reasoning;definition;counter;examples;counterexample","approved_hierarchy_v1"
"QB_A01_T01_S02_017","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S02","Definition and use of counter examples","1.1.2","Hard","MCQ","Which option is a counter example to the statement: If a number is divisible by \(4\), then it is greater than \(10\).","\(8\)","\(12\)","\(16\)","\(20\)","A","\(8\) is divisible by \(4\) but not greater than \(10\).","logic;reasoning;definition;counter;examples;counterexample","approved_hierarchy_v1"
"QB_A01_T01_S02_018","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S02","Definition and use of counter examples","1.1.2","Hard","MCQ","Which option is a counter example to the statement: All rectangles are squares.","A square with side length \(4\)","A rectangle with side lengths \(3\) and \(5\)","A rhombus with side length \(6\)","A triangle with two equal sides","B","A rectangle can have four right angles without having all four sides equal.","logic;reasoning;definition;counter;examples;counterexample","approved_hierarchy_v1"
"QB_A01_T01_S02_019","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S02","Definition and use of counter examples","1.1.2","Hard","MCQ","Which option is a counter example to the statement: Every multiple of \(5\) ends in \(5\).","\(15\)","\(25\)","\(10\)","\(35\)","C","\(10\) is a multiple of \(5\), but it ends in \(0\).","logic;reasoning;definition;counter;examples;counterexample","approved_hierarchy_v1"
"QB_A01_T01_S02_020","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S02","Definition and use of counter examples","1.1.2","Hard","MCQ","Which option is a counter example to the statement: If two angles are supplementary, then they are equal.","\(90^\circ\) and \(90^\circ\)","\(60^\circ\) and \(120^\circ\) are not supplementary","\(45^\circ\) and \(45^\circ\)","\(70^\circ\) and \(110^\circ\)","D","Supplementary angles sum to \(180^\circ\), but they do not have to be equal.","logic;reasoning;definition;counter;examples;counterexample","approved_hierarchy_v1"
"QB_A01_T01_S02_021","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S02","Definition and use of counter examples","1.1.2","Hard","MCQ","Which option is a counter example to the statement: Every prime number is odd.","\(2\)","\(9\)","\(15\)","\(21\)","A","The number \(2\) is prime and even, so it disproves the statement.","logic;reasoning;definition;counter;examples;counterexample","approved_hierarchy_v1"
"QB_A01_T01_S02_022","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S02","Definition and use of counter examples","1.1.2","Hard","MCQ","Which option is a counter example to the statement: If a number is divisible by \(4\), then it is greater than \(10\).","\(12\)","\(8\)","\(16\)","\(20\)","B","\(8\) is divisible by \(4\) but not greater than \(10\).","logic;reasoning;definition;counter;examples;counterexample","approved_hierarchy_v1"
"QB_A01_T01_S02_023","A01","Logic & Reasoning","A01_T01","Logic","A01_T01_S02","Definition and use of counter examples","1.1.2","Hard","MCQ","Which option is a counter example to the statement: All rectangles are squares.","A square with side length \(4\)","A rhombus with side length \(6\)","A rectangle with side lengths \(3\) and \(5\)","A triangle with two equal sides","C","A rectangle can have four right angles without having all four sides equal.","logic;reasoning;definition;counter;examples;counterexample","approved_hierarchy_v1"
