"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A02_T07_S04_016","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S04","Circumcentre and incentre (Stage 2)","2.7.4","Hard","MCQ","Where is the circumcentre of a triangle located?","At the intersection of the medians","At the intersection of the angle bisectors of the exterior angles only","At the midpoint of the longest side","At the intersection of the perpendicular bisectors of the sides","D","The circumcentre is the intersection of the perpendicular bisectors.","geometry;geometric;constructions;general;circumcentre;incentre;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S04_017","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S04","Circumcentre and incentre (Stage 2)","2.7.4","Hard","MCQ","Where is the incentre of a triangle located?","At the intersection of the internal angle bisectors","At the intersection of the altitudes","At the intersection of the perpendicular bisectors","At the midpoint of every side","A","The incentre is the intersection of the triangle's internal angle bisectors.","geometry;geometric;constructions;general;circumcentre;incentre;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S04_018","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S04","Circumcentre and incentre (Stage 2)","2.7.4","Hard","MCQ","Where is the circumcentre of a triangle located?","At the intersection of the medians","At the intersection of the perpendicular bisectors of the sides","At the intersection of the angle bisectors of the exterior angles only","At the midpoint of the longest side","B","The circumcentre is the intersection of the perpendicular bisectors.","geometry;geometric;constructions;general;circumcentre;incentre;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S04_019","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S04","Circumcentre and incentre (Stage 2)","2.7.4","Hard","MCQ","Where is the incentre of a triangle located?","At the intersection of the altitudes","At the intersection of the perpendicular bisectors","At the intersection of the internal angle bisectors","At the midpoint of every side","C","The incentre is the intersection of the triangle's internal angle bisectors.","geometry;geometric;constructions;general;circumcentre;incentre;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S04_020","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S04","Circumcentre and incentre (Stage 2)","2.7.4","Hard","MCQ","Where is the circumcentre of a triangle located?","At the intersection of the medians","At the intersection of the angle bisectors of the exterior angles only","At the midpoint of the longest side","At the intersection of the perpendicular bisectors of the sides","D","The circumcentre is the intersection of the perpendicular bisectors.","geometry;geometric;constructions;general;circumcentre;incentre;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S04_021","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S04","Circumcentre and incentre (Stage 2)","2.7.4","Hard","MCQ","Where is the circumcentre of a triangle located?","At the intersection of the perpendicular bisectors of the sides","At the intersection of the medians","At the intersection of the angle bisectors of the exterior angles only","At the midpoint of the longest side","A","The circumcentre is the intersection of the perpendicular bisectors.","geometry;geometric;constructions;general;circumcentre;incentre;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S04_022","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S04","Circumcentre and incentre (Stage 2)","2.7.4","Hard","MCQ","Where is the incentre of a triangle located?","At the intersection of the altitudes","At the intersection of the internal angle bisectors","At the intersection of the perpendicular bisectors","At the midpoint of every side","B","The incentre is the intersection of the triangle's internal angle bisectors.","geometry;geometric;constructions;general;circumcentre;incentre;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S04_023","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S04","Circumcentre and incentre (Stage 2)","2.7.4","Hard","MCQ","Where is the circumcentre of a triangle located?","At the intersection of the medians","At the intersection of the angle bisectors of the exterior angles only","At the intersection of the perpendicular bisectors of the sides","At the midpoint of the longest side","C","The circumcentre is the intersection of the perpendicular bisectors.","geometry;geometric;constructions;general;circumcentre;incentre;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S04_024","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S04","Circumcentre and incentre (Stage 2)","2.7.4","Hard","MCQ","Where is the incentre of a triangle located?","At the intersection of the altitudes","At the intersection of the perpendicular bisectors","At the midpoint of every side","At the intersection of the internal angle bisectors","D","The incentre is the intersection of the triangle's internal angle bisectors.","geometry;geometric;constructions;general;circumcentre;incentre;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S04_025","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S04","Circumcentre and incentre (Stage 2)","2.7.4","Advanced","MCQ","Where is the circumcentre of a triangle located?","At the intersection of the perpendicular bisectors of the sides","At the intersection of the medians","At the intersection of the angle bisectors of the exterior angles only","At the midpoint of the longest side","A","The circumcentre is the intersection of the perpendicular bisectors.","geometry;geometric;constructions;general;circumcentre;incentre;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S04_026","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S04","Circumcentre and incentre (Stage 2)","2.7.4","Advanced","MCQ","Where is the circumcentre of a triangle located?","At the intersection of the medians","At the intersection of the perpendicular bisectors of the sides","At the intersection of the angle bisectors of the exterior angles only","At the midpoint of the longest side","B","The circumcentre is the intersection of the perpendicular bisectors.","geometry;geometric;constructions;general;circumcentre;incentre;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S04_027","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S04","Circumcentre and incentre (Stage 2)","2.7.4","Advanced","MCQ","Where is the incentre of a triangle located?","At the intersection of the altitudes","At the intersection of the perpendicular bisectors","At the intersection of the internal angle bisectors","At the midpoint of every side","C","The incentre is the intersection of the triangle's internal angle bisectors.","geometry;geometric;constructions;general;circumcentre;incentre;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S04_028","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S04","Circumcentre and incentre (Stage 2)","2.7.4","Advanced","MCQ","Where is the circumcentre of a triangle located?","At the intersection of the medians","At the intersection of the angle bisectors of the exterior angles only","At the midpoint of the longest side","At the intersection of the perpendicular bisectors of the sides","D","The circumcentre is the intersection of the perpendicular bisectors.","geometry;geometric;constructions;general;circumcentre;incentre;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S04_029","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S04","Circumcentre and incentre (Stage 2)","2.7.4","Advanced","MCQ","Where is the incentre of a triangle located?","At the intersection of the internal angle bisectors","At the intersection of the altitudes","At the intersection of the perpendicular bisectors","At the midpoint of every side","A","The incentre is the intersection of the triangle's internal angle bisectors.","geometry;geometric;constructions;general;circumcentre;incentre;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S04_030","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S04","Circumcentre and incentre (Stage 2)","2.7.4","Advanced","MCQ","Where is the circumcentre of a triangle located?","At the intersection of the medians","At the intersection of the perpendicular bisectors of the sides","At the intersection of the angle bisectors of the exterior angles only","At the midpoint of the longest side","B","The circumcentre is the intersection of the perpendicular bisectors.","geometry;geometric;constructions;general;circumcentre;incentre;stage;2;construction;centres","approved_hierarchy_v1"
