"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A02_T05_S02_011","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S02","Using the prefix to determine polygons","2.5.2","Hard","MCQ","Which polygon name corresponds to a figure with \(9\) sides?","quadrilateral","triangle","nonagon","dodecagon","C","A polygon with \(9\) sides is called a nonagon.","geometry;polygons;quadrilaterals;prefix;determine;naming","approved_hierarchy_v1"
"QB_A02_T05_S02_012","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S02","Using the prefix to determine polygons","2.5.2","Hard","MCQ","Which polygon name corresponds to a figure with \(10\) sides?","quadrilateral","triangle","dodecagon","decagon","D","A polygon with \(10\) sides is called a decagon.","geometry;polygons;quadrilaterals;prefix;determine;naming","approved_hierarchy_v1"
"QB_A02_T05_S02_013","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S02","Using the prefix to determine polygons","2.5.2","Hard","MCQ","Which polygon name corresponds to a figure with \(5\) sides?","pentagon","quadrilateral","triangle","dodecagon","A","A polygon with \(5\) sides is called a pentagon.","geometry;polygons;quadrilaterals;prefix;determine;naming","approved_hierarchy_v1"
"QB_A02_T05_S02_014","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S02","Using the prefix to determine polygons","2.5.2","Hard","MCQ","Which polygon name corresponds to a figure with \(6\) sides?","quadrilateral","hexagon","triangle","dodecagon","B","A polygon with \(6\) sides is called a hexagon.","geometry;polygons;quadrilaterals;prefix;determine;naming","approved_hierarchy_v1"
"QB_A02_T05_S02_015","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S02","Using the prefix to determine polygons","2.5.2","Hard","MCQ","Which polygon name corresponds to a figure with \(7\) sides?","quadrilateral","triangle","heptagon","dodecagon","C","A polygon with \(7\) sides is called a heptagon.","geometry;polygons;quadrilaterals;prefix;determine;naming","approved_hierarchy_v1"
"QB_A02_T05_S02_016","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S02","Using the prefix to determine polygons","2.5.2","Hard","MCQ","Which polygon name corresponds to a figure with \(8\) sides?","quadrilateral","triangle","dodecagon","octagon","D","A polygon with \(8\) sides is called a octagon.","geometry;polygons;quadrilaterals;prefix;determine;naming","approved_hierarchy_v1"
"QB_A02_T05_S02_017","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S02","Using the prefix to determine polygons","2.5.2","Hard","MCQ","Which polygon name corresponds to a figure with \(9\) sides?","nonagon","quadrilateral","triangle","dodecagon","A","A polygon with \(9\) sides is called a nonagon.","geometry;polygons;quadrilaterals;prefix;determine;naming","approved_hierarchy_v1"
"QB_A02_T05_S02_018","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S02","Using the prefix to determine polygons","2.5.2","Hard","MCQ","Which polygon name corresponds to a figure with \(10\) sides?","quadrilateral","decagon","triangle","dodecagon","B","A polygon with \(10\) sides is called a decagon.","geometry;polygons;quadrilaterals;prefix;determine;naming","approved_hierarchy_v1"
"QB_A02_T05_S02_019","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S02","Using the prefix to determine polygons","2.5.2","Hard","MCQ","Which polygon name corresponds to a figure with \(5\) sides?","quadrilateral","triangle","pentagon","dodecagon","C","A polygon with \(5\) sides is called a pentagon.","geometry;polygons;quadrilaterals;prefix;determine;naming","approved_hierarchy_v1"
"QB_A02_T05_S02_020","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S02","Using the prefix to determine polygons","2.5.2","Hard","MCQ","Which polygon name corresponds to a figure with \(6\) sides?","quadrilateral","triangle","dodecagon","hexagon","D","A polygon with \(6\) sides is called a hexagon.","geometry;polygons;quadrilaterals;prefix;determine;naming","approved_hierarchy_v1"
"QB_A02_T05_S02_021","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S02","Using the prefix to determine polygons","2.5.2","Hard","MCQ","Which polygon name corresponds to a figure with \(7\) sides?","heptagon","quadrilateral","triangle","dodecagon","A","A polygon with \(7\) sides is called a heptagon.","geometry;polygons;quadrilaterals;prefix;determine;naming","approved_hierarchy_v1"
"QB_A02_T05_S02_022","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S02","Using the prefix to determine polygons","2.5.2","Hard","MCQ","Which polygon name corresponds to a figure with \(8\) sides?","quadrilateral","octagon","triangle","dodecagon","B","A polygon with \(8\) sides is called a octagon.","geometry;polygons;quadrilaterals;prefix;determine;naming","approved_hierarchy_v1"
"QB_A02_T05_S02_023","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S02","Using the prefix to determine polygons","2.5.2","Hard","MCQ","Which polygon name corresponds to a figure with \(9\) sides?","quadrilateral","triangle","nonagon","dodecagon","C","A polygon with \(9\) sides is called a nonagon.","geometry;polygons;quadrilaterals;prefix;determine;naming","approved_hierarchy_v1"
"QB_A02_T05_S02_024","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S02","Using the prefix to determine polygons","2.5.2","Hard","MCQ","Which polygon name corresponds to a figure with \(10\) sides?","quadrilateral","triangle","dodecagon","decagon","D","A polygon with \(10\) sides is called a decagon.","geometry;polygons;quadrilaterals;prefix;determine;naming","approved_hierarchy_v1"
"QB_A02_T05_S02_025","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S02","Using the prefix to determine polygons","2.5.2","Advanced","MCQ","Which polygon name corresponds to a figure with \(5\) sides?","pentagon","quadrilateral","triangle","dodecagon","A","A polygon with \(5\) sides is called a pentagon.","geometry;polygons;quadrilaterals;prefix;determine;naming","approved_hierarchy_v1"
"QB_A02_T05_S02_026","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S02","Using the prefix to determine polygons","2.5.2","Advanced","MCQ","Which polygon name corresponds to a figure with \(6\) sides?","quadrilateral","hexagon","triangle","dodecagon","B","A polygon with \(6\) sides is called a hexagon.","geometry;polygons;quadrilaterals;prefix;determine;naming","approved_hierarchy_v1"
"QB_A02_T05_S02_027","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S02","Using the prefix to determine polygons","2.5.2","Advanced","MCQ","Which polygon name corresponds to a figure with \(7\) sides?","quadrilateral","triangle","heptagon","dodecagon","C","A polygon with \(7\) sides is called a heptagon.","geometry;polygons;quadrilaterals;prefix;determine;naming","approved_hierarchy_v1"
"QB_A02_T05_S02_028","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S02","Using the prefix to determine polygons","2.5.2","Advanced","MCQ","Which polygon name corresponds to a figure with \(8\) sides?","quadrilateral","triangle","dodecagon","octagon","D","A polygon with \(8\) sides is called a octagon.","geometry;polygons;quadrilaterals;prefix;determine;naming","approved_hierarchy_v1"
"QB_A02_T05_S02_029","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S02","Using the prefix to determine polygons","2.5.2","Advanced","MCQ","Which polygon name corresponds to a figure with \(9\) sides?","nonagon","quadrilateral","triangle","dodecagon","A","A polygon with \(9\) sides is called a nonagon.","geometry;polygons;quadrilaterals;prefix;determine;naming","approved_hierarchy_v1"
"QB_A02_T05_S02_030","A02","Geometry","A02_T05","Polygons & Quadrilaterals","A02_T05_S02","Using the prefix to determine polygons","2.5.2","Advanced","MCQ","Which polygon name corresponds to a figure with \(10\) sides?","quadrilateral","decagon","triangle","dodecagon","B","A polygon with \(10\) sides is called a decagon.","geometry;polygons;quadrilaterals;prefix;determine;naming","approved_hierarchy_v1"
