"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A02_T07_S05_011","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Hard","MCQ","Where is the orthocentre of a triangle located?","At the intersection of the medians","At the intersection of the perpendicular bisectors","At the intersection of the altitudes","At the centre of the incircle","C","The orthocentre is where the altitudes meet.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S05_012","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Hard","MCQ","Where is the centroid of a triangle located?","At the intersection of the altitudes","At the intersection of the perpendicular bisectors","At the centre of the circumcircle only","At the intersection of the medians","D","The centroid is the point where the medians intersect.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S05_013","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Hard","MCQ","Where is the orthocentre of a triangle located?","At the intersection of the altitudes","At the intersection of the medians","At the intersection of the perpendicular bisectors","At the centre of the incircle","A","The orthocentre is where the altitudes meet.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S05_014","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Hard","MCQ","Where is the centroid of a triangle located?","At the intersection of the altitudes","At the intersection of the medians","At the intersection of the perpendicular bisectors","At the centre of the circumcircle only","B","The centroid is the point where the medians intersect.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S05_015","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Hard","MCQ","Where is the orthocentre of a triangle located?","At the intersection of the medians","At the intersection of the perpendicular bisectors","At the intersection of the altitudes","At the centre of the incircle","C","The orthocentre is where the altitudes meet.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S05_016","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Hard","MCQ","Where is the orthocentre of a triangle located?","At the intersection of the medians","At the intersection of the perpendicular bisectors","At the centre of the incircle","At the intersection of the altitudes","D","The orthocentre is where the altitudes meet.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S05_017","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Hard","MCQ","Where is the centroid of a triangle located?","At the intersection of the medians","At the intersection of the altitudes","At the intersection of the perpendicular bisectors","At the centre of the circumcircle only","A","The centroid is the point where the medians intersect.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S05_018","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Hard","MCQ","Where is the orthocentre of a triangle located?","At the intersection of the medians","At the intersection of the altitudes","At the intersection of the perpendicular bisectors","At the centre of the incircle","B","The orthocentre is where the altitudes meet.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S05_019","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Hard","MCQ","Where is the centroid of a triangle located?","At the intersection of the altitudes","At the intersection of the perpendicular bisectors","At the intersection of the medians","At the centre of the circumcircle only","C","The centroid is the point where the medians intersect.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S05_020","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Hard","MCQ","Where is the orthocentre of a triangle located?","At the intersection of the medians","At the intersection of the perpendicular bisectors","At the centre of the incircle","At the intersection of the altitudes","D","The orthocentre is where the altitudes meet.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S05_021","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Hard","MCQ","Where is the orthocentre of a triangle located?","At the intersection of the altitudes","At the intersection of the medians","At the intersection of the perpendicular bisectors","At the centre of the incircle","A","The orthocentre is where the altitudes meet.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S05_022","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Hard","MCQ","Where is the centroid of a triangle located?","At the intersection of the altitudes","At the intersection of the medians","At the intersection of the perpendicular bisectors","At the centre of the circumcircle only","B","The centroid is the point where the medians intersect.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S05_023","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Hard","MCQ","Where is the orthocentre of a triangle located?","At the intersection of the medians","At the intersection of the perpendicular bisectors","At the intersection of the altitudes","At the centre of the incircle","C","The orthocentre is where the altitudes meet.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S05_024","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Hard","MCQ","Where is the centroid of a triangle located?","At the intersection of the altitudes","At the intersection of the perpendicular bisectors","At the centre of the circumcircle only","At the intersection of the medians","D","The centroid is the point where the medians intersect.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S05_025","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Advanced","MCQ","Where is the orthocentre of a triangle located?","At the intersection of the altitudes","At the intersection of the medians","At the intersection of the perpendicular bisectors","At the centre of the incircle","A","The orthocentre is where the altitudes meet.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S05_026","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Advanced","MCQ","Where is the orthocentre of a triangle located?","At the intersection of the medians","At the intersection of the altitudes","At the intersection of the perpendicular bisectors","At the centre of the incircle","B","The orthocentre is where the altitudes meet.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S05_027","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Advanced","MCQ","Where is the centroid of a triangle located?","At the intersection of the altitudes","At the intersection of the perpendicular bisectors","At the intersection of the medians","At the centre of the circumcircle only","C","The centroid is the point where the medians intersect.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S05_028","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Advanced","MCQ","Where is the orthocentre of a triangle located?","At the intersection of the medians","At the intersection of the perpendicular bisectors","At the centre of the incircle","At the intersection of the altitudes","D","The orthocentre is where the altitudes meet.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S05_029","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Advanced","MCQ","Where is the centroid of a triangle located?","At the intersection of the medians","At the intersection of the altitudes","At the intersection of the perpendicular bisectors","At the centre of the circumcircle only","A","The centroid is the point where the medians intersect.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
"QB_A02_T07_S05_030","A02","Geometry","A02_T07","Geometric Constructions & General Geometry","A02_T07_S05","Orthocentre and centroids (Stage 2)","2.7.5","Advanced","MCQ","Where is the orthocentre of a triangle located?","At the intersection of the medians","At the intersection of the altitudes","At the intersection of the perpendicular bisectors","At the centre of the incircle","B","The orthocentre is where the altitudes meet.","geometry;geometric;constructions;general;orthocentre;centroids;stage;2;construction;centres","approved_hierarchy_v1"
