"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A02_T06_S14_011","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S14","Theorem - The angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment","2.6.14","Hard","MCQ","Which statement best matches the idea of The angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment?","A statement unrelated to the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment","A numerical shortcut with no proof condition","The angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment","A property that applies only to a different topic","C","The correct option restates the central idea of the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment.","geometry;circle;theorem;angle;between;tangent;chord;through;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S14_012","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S14","Theorem - The angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment","2.6.14","Hard","MCQ","A student wants to apply the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment. What is the most reliable first step?","Assume the statement works in reverse without checking","Use one diagram as a complete proof","Ignore whether the objects satisfy the given conditions","Identify the exact condition required by the statement before drawing a conclusion","D","A theorem or construction can be used only after its conditions are verified.","geometry;circle;theorem;angle;between;tangent;chord;through;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S14_013","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S14","Theorem - The angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment","2.6.14","Hard","MCQ","Which option shows a valid use of the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment?","Use the stated condition and then apply the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment to justify the conclusion","Assume an unproven converse of the statement","Replace the theorem with a visual estimate only","Ignore the named feature and use an unrelated formula","A","A valid use of the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment must follow the given condition rather than a reversed or unrelated claim.","geometry;circle;theorem;angle;between;tangent;chord;through;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S14_014","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S14","Theorem - The angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment","2.6.14","Hard","MCQ","When solving a problem involving the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment, which error is most serious?","Writing the answer on a new line","Using the result without first checking that the required condition is true","Listing the given information before the working","Choosing a shorter explanation after the result is known","B","The main logical risk is applying the statement where its assumptions are not satisfied.","geometry;circle;theorem;angle;between;tangent;chord;through;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S14_015","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S14","Theorem - The angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment","2.6.14","Hard","MCQ","Which description best explains why the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment is useful in geometric reasoning?","It removes the need for any diagram labels","It guarantees that every figure is regular","It turns a verified condition into a justified conclusion","It replaces all angle and length calculations with guessing","C","The value of a theorem or construction is that it supports a justified step in reasoning.","geometry;circle;theorem;angle;between;tangent;chord;through;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S14_016","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S14","Theorem - The angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment","2.6.14","Hard","MCQ","Which statement best matches the idea of The angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment?","A statement unrelated to the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment","A numerical shortcut with no proof condition","A property that applies only to a different topic","The angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment","D","The correct option restates the central idea of the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment.","geometry;circle;theorem;angle;between;tangent;chord;through;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S14_017","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S14","Theorem - The angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment","2.6.14","Hard","MCQ","A student wants to apply the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment. What is the most reliable first step?","Identify the exact condition required by the statement before drawing a conclusion","Assume the statement works in reverse without checking","Use one diagram as a complete proof","Ignore whether the objects satisfy the given conditions","A","A theorem or construction can be used only after its conditions are verified.","geometry;circle;theorem;angle;between;tangent;chord;through;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S14_018","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S14","Theorem - The angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment","2.6.14","Hard","MCQ","Which option shows a valid use of the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment?","Assume an unproven converse of the statement","Use the stated condition and then apply the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment to justify the conclusion","Replace the theorem with a visual estimate only","Ignore the named feature and use an unrelated formula","B","A valid use of the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment must follow the given condition rather than a reversed or unrelated claim.","geometry;circle;theorem;angle;between;tangent;chord;through;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S14_019","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S14","Theorem - The angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment","2.6.14","Hard","MCQ","When solving a problem involving the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment, which error is most serious?","Writing the answer on a new line","Listing the given information before the working","Using the result without first checking that the required condition is true","Choosing a shorter explanation after the result is known","C","The main logical risk is applying the statement where its assumptions are not satisfied.","geometry;circle;theorem;angle;between;tangent;chord;through;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S14_020","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S14","Theorem - The angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment","2.6.14","Hard","MCQ","Which description best explains why the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment is useful in geometric reasoning?","It removes the need for any diagram labels","It guarantees that every figure is regular","It replaces all angle and length calculations with guessing","It turns a verified condition into a justified conclusion","D","The value of a theorem or construction is that it supports a justified step in reasoning.","geometry;circle;theorem;angle;between;tangent;chord;through;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S14_021","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S14","Theorem - The angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment","2.6.14","Hard","MCQ","Which statement best matches the idea of The angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment?","The angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment","A statement unrelated to the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment","A numerical shortcut with no proof condition","A property that applies only to a different topic","A","The correct option restates the central idea of the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment.","geometry;circle;theorem;angle;between;tangent;chord;through;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S14_022","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S14","Theorem - The angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment","2.6.14","Hard","MCQ","A student wants to apply the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment. What is the most reliable first step?","Assume the statement works in reverse without checking","Identify the exact condition required by the statement before drawing a conclusion","Use one diagram as a complete proof","Ignore whether the objects satisfy the given conditions","B","A theorem or construction can be used only after its conditions are verified.","geometry;circle;theorem;angle;between;tangent;chord;through;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S14_023","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S14","Theorem - The angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment","2.6.14","Hard","MCQ","Which option shows a valid use of the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment?","Assume an unproven converse of the statement","Replace the theorem with a visual estimate only","Use the stated condition and then apply the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment to justify the conclusion","Ignore the named feature and use an unrelated formula","C","A valid use of the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment must follow the given condition rather than a reversed or unrelated claim.","geometry;circle;theorem;angle;between;tangent;chord;through;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S14_024","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S14","Theorem - The angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment","2.6.14","Hard","MCQ","When solving a problem involving the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment, which error is most serious?","Writing the answer on a new line","Listing the given information before the working","Choosing a shorter explanation after the result is known","Using the result without first checking that the required condition is true","D","The main logical risk is applying the statement where its assumptions are not satisfied.","geometry;circle;theorem;angle;between;tangent;chord;through;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S14_025","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S14","Theorem - The angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment","2.6.14","Advanced","MCQ","Which description best explains why the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment is useful in geometric reasoning?","It turns a verified condition into a justified conclusion","It removes the need for any diagram labels","It guarantees that every figure is regular","It replaces all angle and length calculations with guessing","A","The value of a theorem or construction is that it supports a justified step in reasoning.","geometry;circle;theorem;angle;between;tangent;chord;through;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S14_026","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S14","Theorem - The angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment","2.6.14","Advanced","MCQ","Which statement best matches the idea of The angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment?","A statement unrelated to the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment","The angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment","A numerical shortcut with no proof condition","A property that applies only to a different topic","B","The correct option restates the central idea of the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment.","geometry;circle;theorem;angle;between;tangent;chord;through;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S14_027","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S14","Theorem - The angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment","2.6.14","Advanced","MCQ","A student wants to apply the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment. What is the most reliable first step?","Assume the statement works in reverse without checking","Use one diagram as a complete proof","Identify the exact condition required by the statement before drawing a conclusion","Ignore whether the objects satisfy the given conditions","C","A theorem or construction can be used only after its conditions are verified.","geometry;circle;theorem;angle;between;tangent;chord;through;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S14_028","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S14","Theorem - The angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment","2.6.14","Advanced","MCQ","Which option shows a valid use of the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment?","Assume an unproven converse of the statement","Replace the theorem with a visual estimate only","Ignore the named feature and use an unrelated formula","Use the stated condition and then apply the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment to justify the conclusion","D","A valid use of the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment must follow the given condition rather than a reversed or unrelated claim.","geometry;circle;theorem;angle;between;tangent;chord;through;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S14_029","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S14","Theorem - The angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment","2.6.14","Advanced","MCQ","When solving a problem involving the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment, which error is most serious?","Using the result without first checking that the required condition is true","Writing the answer on a new line","Listing the given information before the working","Choosing a shorter explanation after the result is known","A","The main logical risk is applying the statement where its assumptions are not satisfied.","geometry;circle;theorem;angle;between;tangent;chord;through;conceptual;reasoning","approved_hierarchy_v1"
"QB_A02_T06_S14_030","A02","Geometry","A02_T06","Circle Geometry","A02_T06_S14","Theorem - The angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment","2.6.14","Advanced","MCQ","Which description best explains why the angle between a tangent and a chord through the point of contact is equal to the angle in the alternate segment is useful in geometric reasoning?","It removes the need for any diagram labels","It turns a verified condition into a justified conclusion","It guarantees that every figure is regular","It replaces all angle and length calculations with guessing","B","The value of a theorem or construction is that it supports a justified step in reasoning.","geometry;circle;theorem;angle;between;tangent;chord;through;conceptual;reasoning","approved_hierarchy_v1"
