"question_id","area_id","area_of_knowledge","topic_id","topic","sub_topic_id","sub_topic","human_numbering","difficulty_level","question_type","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","tags","source_label"
"QB_A02_T03_S03_018","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Hard","MCQ","A right-angled triangle has legs \(6\) and \(15\). Which expression gives the exact length of the hypotenuse?","\(21\)","\(\sqrt{261}\)","\(\sqrt{189}\)","\(90\)","B","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
"QB_A02_T03_S03_019","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Hard","MCQ","A right-angled triangle has legs \(7\) and \(16\). Which expression gives the exact length of the hypotenuse?","\(23\)","\(\sqrt{207}\)","\(\sqrt{305}\)","\(112\)","C","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
"QB_A02_T03_S03_020","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Hard","MCQ","A right-angled triangle has legs \(8\) and \(17\). Which expression gives the exact length of the hypotenuse?","\(25\)","\(\sqrt{225}\)","\(136\)","\(\sqrt{353}\)","D","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
"QB_A02_T03_S03_021","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Hard","MCQ","A right-angled triangle has legs \(9\) and \(18\). Which expression gives the exact length of the hypotenuse?","\(\sqrt{405}\)","\(27\)","\(\sqrt{243}\)","\(162\)","A","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
"QB_A02_T03_S03_022","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Hard","MCQ","A right-angled triangle has legs \(10\) and \(12\). Which expression gives the exact length of the hypotenuse?","\(22\)","\(\sqrt{244}\)","\(\sqrt{44}\)","\(120\)","B","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
"QB_A02_T03_S03_023","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Hard","MCQ","A right-angled triangle has legs \(11\) and \(13\). Which expression gives the exact length of the hypotenuse?","\(24\)","\(\sqrt{48}\)","\(\sqrt{290}\)","\(143\)","C","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
"QB_A02_T03_S03_024","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Hard","MCQ","A right-angled triangle has legs \(12\) and \(14\). Which expression gives the exact length of the hypotenuse?","\(26\)","\(\sqrt{52}\)","\(168\)","\(\sqrt{340}\)","D","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
"QB_A02_T03_S03_025","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Advanced","MCQ","A right-angled triangle has legs \(5\) and \(15\). Which expression gives the exact length of the hypotenuse?","\(\sqrt{250}\)","\(20\)","\(\sqrt{200}\)","\(75\)","A","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
"QB_A02_T03_S03_026","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Advanced","MCQ","A right-angled triangle has legs \(6\) and \(16\). Which expression gives the exact length of the hypotenuse?","\(22\)","\(\sqrt{292}\)","\(\sqrt{220}\)","\(96\)","B","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
"QB_A02_T03_S03_027","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Advanced","MCQ","A right-angled triangle has legs \(7\) and \(17\). Which expression gives the exact length of the hypotenuse?","\(24\)","\(\sqrt{240}\)","\(\sqrt{338}\)","\(119\)","C","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
"QB_A02_T03_S03_028","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Advanced","MCQ","A right-angled triangle has legs \(8\) and \(18\). Which expression gives the exact length of the hypotenuse?","\(26\)","\(\sqrt{260}\)","\(144\)","\(\sqrt{388}\)","D","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
"QB_A02_T03_S03_029","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Advanced","MCQ","A right-angled triangle has legs \(9\) and \(12\). Which expression gives the exact length of the hypotenuse?","\(\sqrt{225}\)","\(21\)","\(\sqrt{63}\)","\(108\)","A","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
"QB_A02_T03_S03_030","A02","Geometry","A02_T03","Pythagoras","A02_T03_S03","Find the hypotenuse Part 2","2.3.3","Advanced","MCQ","A right-angled triangle has legs \(10\) and \(13\). Which expression gives the exact length of the hypotenuse?","\(23\)","\(\sqrt{269}\)","\(\sqrt{69}\)","\(130\)","B","The exact hypotenuse is found from \(c=\sqrt{a^2+b^2}\).","geometry;pythagoras;find;hypotenuse;part;2;exact","approved_hierarchy_v1"
